2009-10-03 00:50:31 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:51:35 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:51:35 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:51:35 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:51:35 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:52:45 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:52:49 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:52:49 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:52:49 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:54:33 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:54:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:54:35 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:54:35 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:54:35 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:54:35 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:54:35 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:55:21 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:55:21 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:55:21 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:55:21 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:55:21 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:55:33 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:55:33 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:55:39 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:56:00 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:56:00 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:56:00 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:56:00 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:56:00 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:56:16 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 00:56:23 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 11]
2009-10-03 00:56:23 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:56:23 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:56:23 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:56:23 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:58:02 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:58:02 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:58:02 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:58:02 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:59:37 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 26]
2009-10-03 01:01:03 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 01:01:03 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 01:01:03 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 01:01:03 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
